keys,zh,en
UNKNOWN_MODE,（未知模式）,(Unknown Mode)
CONFIG_MISSING,（模式配置丢失）,(Config Missing)
TIME_PARSE_ERROR,无法解析时间,Invalid Time
NO_PREVIEW_DATA,暂无预览数据,No Preview Data
BOOKMARK_INFO_FORMAT,"%s | %s %d | %s %dx%d","%s | %s %d | %s %dx%d"
REPLAY_INFO_FORMAT,"%s | %s %d | %s %dx%d","%s | %s %d | %s %dx%d"
SCORE_LABEL,分数: %d,Score: %d
NEW_HIGH_SCORE_FORMAT,最高分: %d [color=yellow](新纪录!)[/color],High Score: %d [color=yellow](New!)[/color]
HIGH_SCORE_LABEL,最高分: %d,High Score: %d
HIGHEST_TILE_LABEL,最大方块: %d,Max Tile: %d
MOVE_COUNT_LABEL,移动次数: %d,Moves: %d
STEP_INFO_FORMAT,步骤: %d / %d,Step: %d / %d
CONTROLS_TITLE,操作,Controls
CONTROLS_MOVE_HINT,移动: WASD / 方向键 / 十字键 / 滑动,Move: WASD / Arrows / D-pad / Swipe
CONTROLS_ACTION_HINT,撤销 Z · 重做 Y · 书签 B · 暂停 Esc,Undo Z · Redo Y · Bookmark B · Pause Esc
SEED_INFO_LABEL,游戏种子: %d,Seed: %d
DEBUG_TAINT_WARNING,[color=orange]警告: 调试工具已使用，回放将被禁用。[/color],[color=orange]Warning: Debug tools used. Replay disabled.[/color]
UNDO_FAIL_MSG,[color=yellow]无法撤回: 已在最初状态。[/color],[color=yellow]Undo failed: At initial state.[/color]
REDO_FAIL_MSG,[color=yellow]无法重做: 没有可恢复的步骤。[/color],[color=yellow]Redo failed: No step to restore.[/color]
MOVE_FAIL_MSG,[color=yellow]这个方向无法移动。[/color],[color=yellow]No move available in that direction.[/color]
SNAPSHOT_TAINT_WARN,[color=orange]警告: 正在保存一个被调试工具修改过的状态！[/color],[color=orange]Warning: Saving a tainted state![/color]
SNAPSHOT_NO_CHANGE,[color=yellow]游戏状态未变，无需重复保存。[/color],[color=yellow]State unchanged. Save skipped.[/color]
SNAPSHOT_SAVED_SUCCESS,[color=green]书签已保存！[/color],[color=green]Bookmark Saved![/color]
SNAPSHOT_SAVE_FAILED,[color=red]书签保存失败。[/color],[color=red]Bookmark save failed.[/color]
REPLAY_CONTINUE_SUCCESS,[color=green]已从当前回放进度继续游戏。[/color],[color=green]Continued from the current replay step.[/color]
TARGET_REACHED_MESSAGE,[color=green]已达成目标 %d！可以继续挑战更高方块。[/color],[color=green]Target %d reached! Keep going for a higher tile.[/color]
SIZE_LABEL,尺寸,Size
SETTINGS_TITLE,设置,Settings
INPUT_TIMING_MODE_LABEL,操作响应,Input Response
INPUT_TIMING_BUFFERED,缓冲队列,Buffered Queue
INPUT_TIMING_BLOCK,动画期间阻断,Block During Animation
INPUT_TIMING_REALTIME,实时重定向,Realtime Retarget
INPUT_BINDINGS_TITLE,按键映射,Input Bindings
INPUT_BINDINGS_RESET_ALL,恢复默认按键,Reset All Bindings
INPUT_BINDINGS_UNAVAILABLE,输入配置服务不可用,Input profile service unavailable
INPUT_BINDING_UNBOUND,未绑定,Unbound
INPUT_BINDING_CHANGE_HINT,点击后输入新的键位或手柄操作,Press then enter a new key mouse or controller input
INPUT_BINDING_RESET_ONE,恢复此项默认绑定,Reset this binding
INPUT_BINDING_LISTENING,等待输入...按 Esc 取消,Waiting for input... Press Esc to cancel
INPUT_BINDING_CANCELLED,已取消改键,Binding cancelled
INPUT_BINDING_CONFLICT,该输入已被其他操作占用,That input is already assigned
INPUT_BINDING_SAVED,按键映射已保存,Binding saved
INPUT_BINDING_RESET_DONE,已恢复默认绑定,Default binding restored
INPUT_ACTION_PAUSE,暂停,Pause
INPUT_ACTION_UNDO,撤销,Undo
INPUT_ACTION_REDO,重做,Redo
INPUT_ACTION_SAVE_BOOKMARK,保存书签,Save Bookmark
INPUT_ACTION_MOVE_UP,向上移动,Move Up
INPUT_ACTION_MOVE_DOWN,向下移动,Move Down
INPUT_ACTION_MOVE_LEFT,向左移动,Move Left
INPUT_ACTION_MOVE_RIGHT,向右移动,Move Right
INPUT_ACTION_VIEW_ZOOM_IN,放大视图,Zoom In
INPUT_ACTION_VIEW_ZOOM_OUT,缩小视图,Zoom Out
INPUT_ACTION_VIEW_FIT,适配棋盘,Fit Board
INPUT_ACTION_VIEW_PAN_UP,视图上移,Pan Up
INPUT_ACTION_VIEW_PAN_DOWN,视图下移,Pan Down
INPUT_ACTION_VIEW_PAN_LEFT,视图左移,Pan Left
INPUT_ACTION_VIEW_PAN_RIGHT,视图右移,Pan Right
LANGUAGE_LABEL,语言,Language
WINDOW_MODE_LABEL,窗口模式,Window
WINDOW_MODE_WINDOWED,窗口,Windowed
WINDOW_MODE_FULLSCREEN,全屏,Fullscreen
WINDOW_MODE_EXCLUSIVE_FULLSCREEN,独占全屏,Exclusive Fullscreen
VSYNC_LABEL,垂直同步,VSync
VSYNC_DISABLED,关闭,Off
VSYNC_ENABLED,开启,On
VSYNC_ADAPTIVE,自适应,Adaptive
VISUAL_THEME_LABEL,视觉主题,Visual Theme
SOUND_THEME_LABEL,音效主题,Sound Theme
THEME_HALFTONE_ATLAS,半调图集,Halftone Atlas
THEME_HALFTONE_ATLAS_DESC,青蓝纸面、深色墨盘和多纹理方块的印刷主题。,"Printed cyan paper, dark ink board, and patterned tiles."
SOUND_THEME_PRINTWORKS,印刷工坊,Printworks
SOUND_THEME_PRINTWORKS_DESC,为纸媒印刷主题预留的柔和短音效包。,"A softer short-sound pack reserved for the print theme."
MASTER_VOLUME_LABEL,主音量,Master Volume
LANG_EN,English,English
LANG_ZH,简体中文,Chinese
BACK_BUTTON,返回,Back
UI_BACK,返回,Back
UI_PREV_PAGE,上一页,Prev
UI_NEXT_PAGE,下一页,Next
UI_UNKNOWN,未知,Unknown
UI_ERROR,错误,Error
UI_LOADING,加载中...,Loading...
UI_NONE,无,None
UI_TARGET_REACHED,已达成,Reached
UI_TARGET_NOT_REACHED,未达成,Not Reached
MSG_NO_BOOKMARKS,没有找到任何书签记录。,No bookmarks found.
MSG_NO_REPLAYS,没有找到任何回放记录。,No replays found.
MSG_NO_DATA,暂无数据。,No data.
MSG_SELECT_ITEM,请选择一个项目...,Select an item...
MSG_SELECT_SAVE,请选择一个存档...,Select a save file...
MSG_SELECT_REPLAY,请选择一个回放...,Select a replay...
MSG_NO_PREVIEW_REPLAY,(此回放无预览数据),(No preview data available)
ERR_LOAD_CONFIG,错误: 无法加载模式配置,Error: Failed to load mode config
ERR_NO_MODE_SELECTED,无法开始游戏：没有选中的模式。,Cannot start: No mode selected.
TITLE_MODE_SELECTION,模式选择,Mode Selection
LABEL_MODE_CONFIG,模式配置,Configuration
LABEL_GRID_SIZE,棋盘大小：,Grid Size:
LABEL_GAME_SEED,游戏种子：,Game Seed:
HINT_SEED_PLACEHOLDER,留空则随机,Empty for random
BTN_START_GAME,开始游戏,Start Game
BTN_LOAD_BOOKMARK,读取书签（存档）,Load Bookmark
BTN_REFRESH_SEED,点击以生成新的随机种子,Generate new seed
DESC_SELECT_MODE_PREFIX,"选择 ","Select "
INFO_HIGH_SCORE_AT_SIZE,在 %dx%d 尺寸下的最高分：%d,High Score at %dx%d: %d
INFO_MODE_STATS_EMPTY,"在 %dx%d 尺寸下的最高分：%d
暂无完整对局统计","High Score at %dx%d: %d
No completed runs yet"
INFO_MODE_STATS_SUMMARY,"在 %dx%d 尺寸下的最高分：%d
游玩 %d 局 · 最佳步数 %s · 最大方块 %s
平均：%s 分 · %s 步
最近一局：%d 分 · %s 步","High Score at %dx%d: %d
Played %d · Best Moves %s · Max Tile %s
Average: %s pts · %s moves
Last Run: %d pts · %s moves"
